iter	Passed	Remaining
875	47329	6699
876	47380	6645
877	47410	6587
878	47437	6530
879	47474	6473
880	47502	6416
881	47532	6359
882	47566	6302
883	47605	6246
884	47650	6191
885	47695	6136
886	47739	6081
887	47780	6026
888	47813	5969
889	47966	5928
890	48032	5876
891	48065	5819
892	48113	5764
893	48170	5711
894	48220	5657
895	48277	5603
896	48330	5549
897	48374	5494
898	48416	5439
899	48461	5384
900	48510	5330
901	48550	5274
902	48605	5221
903	48725	5174
904	48881	5131
905	48939	5077
906	48989	5023
907	49039	4968
908	49090	4914
909	49139	4859
910	49179	4804
911	49215	4748
912	49375	4705
913	49449	4652
914	49486	4597
915	49566	4545
916	49609	4490
917	49660	4435
918	49698	4380
919	49735	4324
920	49779	4269
921	49930	4224
922	49994	4170
923	50029	4114
924	50063	4059
925	50102	4003
926	50131	3947
927	50163	3892
928	50193	3836
929	50232	3780
930	50347	3731
931	50454	3681
932	50503	3626
933	50540	3571
934	50579	3516
935	50611	3460
936	50648	3405
937	50686	3350
938	50726	3295
939	50836	3244
940	50930	3193
941	51019	3141
942	51074	3087
943	51119	3032
944	51171	2978
945	51214	2923
946	51255	2868
947	51386	2818
948	51449	2764
949	51481	2709
950	51515	2654
951	51550	2599
952	51578	2543
953	51612	2488
954	51646	2433
955	51679	2378
956	51796	2327
957	51868	2273
958	51925	2219
959	51962	2165
960	52108	2114
961	52164	2060
962	52199	2005
963	52296	1952
964	52371	1899
965	52432	1845
966	52468	1790
967	52618	1739
968	52680	1685
969	52717	1630
970	52813	1577
971	52901	1523
972	52951	1469
973	52989	1414
974	53030	1359
975	53142	1306
976	53198	1252
977	53236	1197
978	53312	1143
979	53371	1089
980	53512	1036
981	53575	982
982	53610	927
983	53655	872
984	53814	819
985	53872	764
986	53908	710
987	53948	655
988	53981	600
989	54057	546
990	54157	491
991	54204	437
992	54236	382
993	54266	327
994	54433	273
995	54484	218
996	54514	164
997	54541	109
998	54570	54
999	54668	0
